sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,Unnamed: 16,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,props_gpt4_majority,res1_y.1,gpt_props1_y.1,res2_y.1,gpt_props2_y.1,res3_y.1,gpt_props3_y.1
751,[5 9],"The Guardian has painted social media chiefly as a platform overrun by Russian trolls, arguing that this should justify ever-tighter restrictions that have so far curbed critical voices of the dissident left more than the right.",Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)"",
    ""comparison (parallelism in argument)""
  ],
  ""Explanation"": ""The text uses grammatical structure with repetition in the clause 'this should justify ever-tighter restrictions' and 'that have so far curbed critical voices'. It also employs comparison in the argument about social media being overrun by Russian trolls.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']",timeout,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'that' in the clause 'that this should justify ever-tighter restrictions' exhibits the grammatical structure of parison.""
}",['grammatical_structure_(parison)'],[],"['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']",-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'that' to connect two parallel clauses demonstrates grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text displays parallelism in grammatical structure with the repetition of 'that' in 'that this should justify' and 'that have so far curbed'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text uses parallelism in argument to compare how social media restrictions have affected critical voices of the dissident left versus the right.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text employs parallelism in argument by comparing the impact of social media restrictions on the critical voices of the dissident left versus the right.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence uses parallelism in grammatical structure to compare the impact of ever-tighter restrictions on critical voices of the dissident left and the right.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains a comparison that presents a contrast between the impact of restrictions on critical voices of the dissident left versus the right.""
}",['comparison_(parallelism_in_argument)']
804,[5],"Las Vegas police said Friday that the gunman who opened fire on a country music festival far below his hotel suite did not shoot a security guard six minutes before that rampage, contradicting a timeline they had offered earlier this week….",Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""comparison (parallelism in argument)""],
  ""Explanation"": ""The statement contrasts the previous timeline with new information, creating a parallelism in the argument.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'did not shoot' creates parity among longer clauses, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'did not shoot' in 'did not shoot a security guard six minutes before that rampage' demonstrates the use of parallelism in grammatical structure.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text exhibits parallelism in grammatical structure through the repetition of 'did not shoot' and 'contradicting a timeline'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The usage of 'did not shoot' and 'contradicting a timeline' demonstrates a parity among longer clauses through repetition, indicating the presence of parison."" 
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'did not shoot' creates a grammatical structure that displays parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of the repetitive structure 'did not shoot' and 'contradicting a timeline' demonstrates grammatical parallelism, specifically parison, to emphasize the contradiction in the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of parallelism in argument is present in the contrasting statements made by Las Vegas police, where they contradict their earlier timeline.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement sets up a comparison between the previous timeline provided by the police and the new information they are presenting, indicating a change from a theory to reality.""
}",['comparison_(parallelism_in_argument)']
812,[5],This Guardian Fake News Story Proves That The Media Can't Be Trusted,Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of the phrase 'This Guardian Fake News Story Proves That' shows parity among longer clauses, indicating the use of grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The use of repeating structure in the headline ('Proves That The Media Can't Be Trusted') demonstrates grammatical parallelism. Additionally, the comparison of 'Fake News Story' and 'Can't Be Trusted' exhibits parallelism in the argument."" 
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']",timeout,[],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text uses grammatical structure parallelism by repeating the pattern 'The [noun] [verb]' in consecutive phrases.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'Proves' in the title creates a comparison between the Guardian's story and the trustworthiness of the media.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [],
  ""Explanation"": ""None of the properties of Parallelism are used in the given example text.""
}",[],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains a comparison where the media is being criticized as untrustworthy by citing an example of a Guardian news story being labeled as 'fake news'.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument, as it presents a comparison between a past state ('The Media Can't Be Trusted') and a present state ('This Guardian Fake News Story'). This highlights a shift in perception.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'fake news' implies a comparison between what is true and what is being presented by the media.""
}",['comparison_(parallelism_in_argument)']
848,[5],Judge: I don’t understand why the witness is having such trouble with the question.,Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example text demonstrates isocolon parallelism, as the two clauses 'I don't understand why' and 'the witness is having such trouble with the question' have equal syllable length.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""grammatical structure"", ""comparison""],
  ""Explanation"": ""The example text shows parity among longer clauses from repetition ('I don’t understand why' repeated) and also a comparison between the witness's current trouble with the question and their previous understanding."" 
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example text contains equal syllable length in the phrases 'I don’t understand' and 'why the witness is having such trouble with the question', which helps them cohere as a set.""
}",['in_syllables_(isocolon)'],[],['in_syllables_(isocolon)'],-1,,timeout,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text demonstrates parity among longer clauses through repetition. 'I don’t understand why' and 'the witness is having such trouble with the question' have a similar grammatical structure.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text shows parity among longer clauses through repetition""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in its grammatical structure with the repetition of 'I don't understand why' at the beginning of each clause.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure with the repetition of 'I don’t understand why' at the beginning of each clause.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example exhibits parallelism in grammatical structure through the repetition of 'I don’t understand why' at the beginning of both clauses.""
}",['grammatical_structure_(parison)']
852,[5],"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'the Paddock' creates parity among longer clauses, indicating the use of parison in the example text.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the Paddock' in the sentence demonstrates parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeated structure of 'the Paddock' creates parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'the Paddock' creates grammatical structure parallelism in the text.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the Paddock' creates parity among longer clauses, showing the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in the form of comparison, where the speaker contrasts the 'Paddock in the preliminary police report' with 'the Paddock of other documentation'.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of parallelism in the comparison of 'the Paddock in the preliminary police report' with 'the Paddock of other documentation' highlights the discrepancies and raises questions about the identity of the body.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the Paddock' in the sentence creates a grammatical structure within longer clauses from repetition, indicating the presence of parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The use of 'the Paddock' in the parallel structure of 'certain elements of the Paddock in the preliminary police report' and 'the Paddock of other documentation' demonstrates grammatical structure (parison) with the repetition of 'the Paddock'.""
}",['grammatical_structure_(parison)']
863,[5],Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors,Parallelism,['gramatical_structure_(parison)'],[],[],,[],,[],,[],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeated phrase 'Capitol Police didn’t make arrests' and 'inadvertently' is an example of parison, with parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'and then' in the sentence shows a parity among the clauses through repetition.""
}",['grammatical_structure_(parison)'],"```json
{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeating structure 'despite numerous red flags' and 'that was supposed to go to prosecutors' demonstrates the use of parison parallelism.""
}
```",['grammatical_structure_(parison)'],['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'didn’t make arrests' and 'inadvertently' exhibits parity among longer clauses creating a sense of balance in the sentence structure.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure 'didn’t make arrests' and 'gave evidence' creates a sense of balance and parity in the longer clauses, qualifying it as a parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of repetition in the phrase 'didn’t make arrests' and 'supposed to go to prosecutors' creates a grammatical structure parallelism, or parison.""
}",['grammatical_structure_(parison)']
866,[6],A West Virginia school has come under fire for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.,Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'to write the Islamic profession of faith ostensibly to practice calligraphy' creates parity among longer clauses, demonstrating a form of parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'to write' and 'to practice' creates a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'A West Virginia school has come under fire' and 'to write the Islamic profession of faith' demonstrates parity among longer clauses from repetition, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of repetition in the phrase 'to write the Islamic profession of faith' and 'to practice calligraphy' demonstrates grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'A West Virginia school has' and 'to write the Islamic profession of faith' shows parity among longer clauses and qualifies as parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'to write' and 'ostensibly to practice' creates parity among the longer clauses, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The presence of comparison can be identified in the text, as it highlights the contrast between the school's action and the potential controversy it has sparked.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'to write the Islamic profession of faith' and 'ostensibly to practice calligraphy' exhibits a parity in the longer clauses through repetition, indicating the use of grammatical structure (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The text contains an example of isocolon as the phrases 'come under fire for instructing junior high students to write' and 'the Islamic profession of faith ostensibly to practice calligraphy' have a similar number of syllables, thus creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)']
900,[6 9],His warning against making the resistance to jihad a “battle between us and the entire religion” is odd.,Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'against' and 'is odd' creates a parity in the longer clauses""
}",['grammatical_structure_(parison)'],"```json
{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text employs parallelism in argument by comparing the concept of resistance to jihad as a theory and as a reality.""
}
```",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'His warning' and 'is odd' creates a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text contains parallelism in argument, as it presents a comparison between the past and current views on climate change.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text uses parallelism in argument by comparing the perception of resistance to jihad as a theory and as a reality.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text contains a comparison between the warning against making the resistance to jihad a 'battle between us and the entire religion'.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence presents a comparison between the warning against turning resistance to jihad into a battle and the oddness of this warning.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure by repeating the phrase 'making the resistance to jihad' and 'us and the entire religion'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'against' in parallel structure with 'between' creates a grammatical structure known as parison, which emphasizes the parallel relationship between these two elements.""
}",['grammatical_structure_(parison)']
929,[13  6],"Beyond pressuring our allies, consider these specific steps President Trump has taken against Russia: Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Parallelism,"['comparison_(parallelism_in_argument)', 'gramatical_structure_(parison)']",[],[],,[],,[],,[],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text exhibits parity among longer clauses from repetition, making use of the parison property of Parallelism.""
}",['grammatical_structure_(parison)'],"``` 
{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text uses parison by repeating the structure 'President (Name) refused to (action), (comment on the action). President Trump has (opposite action) to enable the (affected group) to (purpose).'""
}
```",['grammatical_structure_(parison)'],"``` 

{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text utilizes parallelism in argument by comparing the actions of President Obama and President Trump in their approach to the situation with Russia.""
}
```",['comparison_(parallelism_in_argument)'],['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The structure 'Where President Obama refused... President Trump has approved' demonstrates parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""comparison""
  ],
  ""Explanation"": ""The passage uses parallelism in argument to compare the actions of President Trump and President Obama in their approach to providing weapons to the Ukrainians.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text uses parallelism in the form of comparison to highlight the contrast between President Obama's action and President Trump's action against Russia.""
}",['comparison_(parallelism_in_argument)']
953,[6],"And it gets even worse: “The investigation, published Wednesday by the House Permanent Subcommittee on Investigations, further discloses secret efforts by top Obama administration officials to assure European countries they would receive a pass from U.S. sanctions if they engaged in business with Iran.”",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'The investigation' at the beginning of the sentence demonstrates grammatical structure parallelism, creating a sense of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'The investigation' at the beginning of the sentence creates grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text uses grammatical structure to create parity among longer clauses through the repetition of 'they would receive a pass from U.S. sanctions if they engaged in business with Iran.'""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"``` 
        ""Properties"": [""grammatical structure (parison)""],
        ""Explanation"": ""The text contains parity among longer clauses from repetition, such as 'The investigation' and 'secret efforts by top Obama administration officials'.""
```",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains a comparison between the past and current status of climate change, indicating a shift from theory to reality.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text exhibits parallelism in grammatical structure with the repetition of 'they would receive a pass' and 'if they engaged in business with Iran.'""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The parallel structure 'The investigation' and 'further discloses' is an example of parison, where longer clauses have parity through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example uses parallelism in argument by comparing the situation in the past ('Yesterday climate change was a theory') to the situation in the present ('Today climate change is the reality').""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure through the repetition of 'The investigation' at the beginning and 'discloses' later in the sentence.""
}",['grammatical_structure_(parison)']
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'his four years of' creates a grammatical structure of parison, bringing parity among longer clauses.""
}",['grammatical_structure_(parison)'],timeout,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the structure 'Nothing good can be said about' emphasizes the negative assessment of the four years.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [],
  ""Explanation"": ""None of the properties of Parallelism are present in the example text. The sentence does not exhibit equal syllable length, alternating stressed and unstressed syllables, grammatical structure parity, or comparison in argument."" 
}",[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'four years of' creates parity among longer clauses, demonstrating grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of the phrase 'his four years of' creates parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The statement uses parallelism in grammatical structure with the repetition of 'nothing good can be said about'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits grammatical structure parallelism by repeating the format 'adjective + noun + prepositional phrase' with 'sanctimony and incompetence'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'nothing good' and 'sanctimony and incompetence' presents a comparison, highlighting the negative aspects of his four years.""
}",['comparison_(parallelism_in_argument)']
963,[6],"An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday.",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the gunman' and 'the man' creates parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'didn't spot any suspicious signs' and 'disturbed' presents a comparison between the man's lack of suspicion and his feeling of unease.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeated structure of 'he didn't spot any suspicious signs' and 'his one-time customer' demonstrates parallelism in grammatical structure.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text uses parallelism in argument by comparing the past and present views on climate change.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument by comparing the gunman's actions before and after the shooting.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'An Arizona man' is repeated at the beginning of two consecutive clauses, creating grammatical structure parity.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the gunman' and 'his one-time customer' as longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the gunman' and 'the man' as well as 'his one-time customer'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the gunman' and 'the man's lawyer' as the longer clauses.""
}",['grammatical_structure_(parison)']
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Parallelism,[],[],[],"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""The example text contains the iambic parameter with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'comfort in being' and 'of evidence' demonstrates parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repeated structure of 'comfort in being put through the ringer without a shred of evidence' and 'Senator Flake' shows parity among longer clauses with repetition, indicating the use of parison in this text.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text contains parallelism in argument by comparing Judge Kavanaugh's comfort in being put through the ringer without evidence to Senator Flake's actions.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument by comparing the comfort of Judge Kavanaugh in one situation to Senator Flake's actions in another situation.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument, contrasting Judge Kavanaugh's comfort in being put through the ringer without evidence with Senator Flake's actions.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'without a shred of evidence' creates a comparison between Judge Kavanaugh's situation and a standard of evidence, highlighting the lack of evidence in his case.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'without a shred of evidence' is a form of comparison, contrasting the situation of Judge Kavanaugh being put through the ringer with the lack of evidence."" 
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The use of repetition in 'without a shred of evidence' creates a grammatical structure known as parison, which emphasizes the lack of evidence and reinforces the point being made.""
}",['grammatical_structure_(parison)']
994,[8 6],"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The repetition of 'I’ve never understood how' creates a grammatical structure (parison) and the comparison of chaos, anarchy, and illegal border crossings to discipline and the rule of law shows parallelism in argument.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","``` 
{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'I’ve never understood' and 'which we view' creates parity among longer clauses, indicating the use of parison.""
}
```",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text exhibits parallelism in grammatical structure with the repetition of 'which we view as' and 'the best example of'.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text exhibits the property of parison, with the repetition of 'which we view as the best example of' in the adjacent clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The example text contains a comparison of two contrasting ideas, highlighting the use of parallelism in argument. Additionally, the repetition of the phrase 'I’ve never understood' creates a grammatical structure of parison, emphasizing the parallelism in the clauses.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
    ""Properties"": [""grammatical structure (parison)""],
    ""Explanation"": ""The repetition of 'which we view as' creates a parallel grammatical structure, indicating the use of parison in the example text.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement sets up a comparison between the perceived chaos, anarchy, and illegal border crossings with the traditional view of Germany as a country known for discipline and the rule of law.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement sets up a comparison between chaos, anarchy, and illegal border crossings and the perceived values of discipline and the rule of law in Germany.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'how chaos, anarchy and illegal border crossings are viewed as something good' and 'which we view as the best example of discipline and the rule of law'.""
}",['grammatical_structure_(parison)']
