sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,Unnamed: 16,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
812,[5],This Guardian Fake News Story Proves That The Media Can't Be Trusted,Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of the phrase 'This Guardian Fake News Story Proves That' shows parity among longer clauses, indicating the use of grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The use of repeating structure in the headline ('Proves That The Media Can't Be Trusted') demonstrates grammatical parallelism. Additionally, the comparison of 'Fake News Story' and 'Can't Be Trusted' exhibits parallelism in the argument."" 
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']",timeout,[],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text uses grammatical structure parallelism by repeating the pattern 'The [noun] [verb]' in consecutive phrases.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'Proves' in the title creates a comparison between the Guardian's story and the trustworthiness of the media.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [],
  ""Explanation"": ""None of the properties of Parallelism are used in the given example text.""
}",[],[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'Fake News' in the headline sets up a comparison between the story and the concept of untrustworthy media, suggesting that the story itself is an example of untrustworthy reporting.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'Fake News' in the headline sets up a comparison between the story and the concept of untrustworthy media, suggesting that the media cannot be trusted.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'fake news' and 'can't be trusted' creates a comparison between the story and the trustworthiness of the media.""
}",['comparison_(parallelism_in_argument)']
848,[5],Judge: I don’t understand why the witness is having such trouble with the question.,Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example text demonstrates isocolon parallelism, as the two clauses 'I don't understand why' and 'the witness is having such trouble with the question' have equal syllable length.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""grammatical structure"", ""comparison""],
  ""Explanation"": ""The example text shows parity among longer clauses from repetition ('I don’t understand why' repeated) and also a comparison between the witness's current trouble with the question and their previous understanding."" 
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example text contains equal syllable length in the phrases 'I don’t understand' and 'why the witness is having such trouble with the question', which helps them cohere as a set.""
}",['in_syllables_(isocolon)'],[],['in_syllables_(isocolon)'],-1,,timeout,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text demonstrates parity among longer clauses through repetition. 'I don’t understand why' and 'the witness is having such trouble with the question' have a similar grammatical structure.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text shows parity among longer clauses through repetition""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure with the repetition of 'I don’t understand why' at the beginning of each clause.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure with the repetition of 'I don’t understand why' at the beginning of each clause.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure with the repetition of 'I don’t understand why' at the beginning of each clause.""
}",['grammatical_structure_(parison)']
852,[5],"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'the Paddock' creates parity among longer clauses, indicating the use of parison in the example text.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the Paddock' in the sentence demonstrates parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeated structure of 'the Paddock' creates parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'the Paddock' creates grammatical structure parallelism in the text.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the Paddock' creates parity among longer clauses, showing the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in the form of comparison, where the speaker contrasts the 'Paddock in the preliminary police report' with 'the Paddock of other documentation'.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the Paddock' in the preliminary police report and 'the Paddock' of other documentation creates a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the Paddock' in the parallel structure 'the Paddock in the preliminary police report' and 'the Paddock of other documentation' demonstrates grammatical structure (parison) by repeating and comparing the same grammatical form.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the Paddock' in the preliminary police report and 'the Paddock' of other documentation creates a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)']
863,[5],Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors,Parallelism,['gramatical_structure_(parison)'],[],[],,[],,[],,[],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeated phrase 'Capitol Police didn’t make arrests' and 'inadvertently' is an example of parison, with parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'and then' in the sentence shows a parity among the clauses through repetition.""
}",['grammatical_structure_(parison)'],"```json
{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeating structure 'despite numerous red flags' and 'that was supposed to go to prosecutors' demonstrates the use of parison parallelism.""
}
```",['grammatical_structure_(parison)'],['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'didn’t make arrests' and 'inadvertently gave evidence' creates a grammatical structure of parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'didn’t make arrests' and 'inadvertently gave evidence' creates a grammatical structure with parity among longer clauses through repetition, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'didn’t make arrests' and 'inadvertently gave evidence' creates a grammatical structure with parity among longer clauses through repetition, indicating the presence of parison parallelism.""
}",['grammatical_structure_(parison)']
866,[6],A West Virginia school has come under fire for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.,Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'to write the Islamic profession of faith ostensibly to practice calligraphy' creates parity among longer clauses, demonstrating a form of parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'to write' and 'to practice' creates a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'A West Virginia school has come under fire' and 'to write the Islamic profession of faith' demonstrates parity among longer clauses from repetition, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of repetition in the phrase 'to write the Islamic profession of faith' and 'to practice calligraphy' demonstrates grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'A West Virginia school has' and 'to write the Islamic profession of faith' shows parity among longer clauses and qualifies as parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'to write' and 'ostensibly to practice' creates parity among the longer clauses, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'to write the Islamic profession of faith' and 'ostensibly to practice calligraphy' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'to write the Islamic profession of faith' and 'ostensibly to practice calligraphy' exhibits parity among longer clauses, creating a sense of balance and cohesion.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'to write the Islamic profession of faith' and 'ostensibly to practice calligraphy' exhibits parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)']
900,[6 9],His warning against making the resistance to jihad a “battle between us and the entire religion” is odd.,Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'against' and 'is odd' creates a parity in the longer clauses""
}",['grammatical_structure_(parison)'],"```json
{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text employs parallelism in argument by comparing the concept of resistance to jihad as a theory and as a reality.""
}
```",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'His warning' and 'is odd' creates a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text contains parallelism in argument, as it presents a comparison between the past and current views on climate change.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text uses parallelism in argument by comparing the perception of resistance to jihad as a theory and as a reality.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text contains a comparison between the warning against making the resistance to jihad a 'battle between us and the entire religion'.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure in the clause 'making the resistance to jihad a 'battle between us and the entire religion'' creates a sense of balance and equality, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure in the phrase 'making the resistance to jihad' and 'a battle between us and the entire religion' creates a sense of balance and equivalence, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'against' in 'His warning against making the resistance to jihad' and 'between us and the entire religion' creates a grammatical structure that parallels the two phrases, forming a parison.""
}",['grammatical_structure_(parison)']
929,[13  6],"Beyond pressuring our allies, consider these specific steps President Trump has taken against Russia: Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Parallelism,"['comparison_(parallelism_in_argument)', 'gramatical_structure_(parison)']",[],[],,[],,[],,[],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text exhibits parity among longer clauses from repetition, making use of the parison property of Parallelism.""
}",['grammatical_structure_(parison)'],"``` 
{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text uses parison by repeating the structure 'President (Name) refused to (action), (comment on the action). President Trump has (opposite action) to enable the (affected group) to (purpose).'""
}
```",['grammatical_structure_(parison)'],"``` 

{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text utilizes parallelism in argument by comparing the actions of President Obama and President Trump in their approach to the situation with Russia.""
}
```",['comparison_(parallelism_in_argument)'],['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains a comparison between the actions of President Obama and President Trump in their approach to providing weapons to the Ukrainians, highlighting the contrast between the two administrations' stances on the issue.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence structure shows parity between the clauses 'Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves' and 'President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence structure shows parity among longer clauses through repetition, emphasizing the contrast between President Obama's actions and President Trump's actions.""
}",['grammatical_structure_(parison)']
953,[6],"And it gets even worse: “The investigation, published Wednesday by the House Permanent Subcommittee on Investigations, further discloses secret efforts by top Obama administration officials to assure European countries they would receive a pass from U.S. sanctions if they engaged in business with Iran.”",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'The investigation' at the beginning of the sentence demonstrates grammatical structure parallelism, creating a sense of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'The investigation' at the beginning of the sentence creates grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text uses grammatical structure to create parity among longer clauses through the repetition of 'they would receive a pass from U.S. sanctions if they engaged in business with Iran.'""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"``` 
        ""Properties"": [""grammatical structure (parison)""],
        ""Explanation"": ""The text contains parity among longer clauses from repetition, such as 'The investigation' and 'secret efforts by top Obama administration officials'.""
```",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains a comparison between the past and current status of climate change, indicating a shift from theory to reality.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text exhibits parallelism in grammatical structure with the repetition of 'they would receive a pass' and 'if they engaged in business with Iran.'""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'further discloses' and 'assure' creates a grammatical structure of parity among longer clauses, indicating the presence of parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'further discloses' and 'assure' creates a grammatical structure of parity among longer clauses, demonstrating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'further discloses' and 'assure' creates a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)']
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'his four years of' creates a grammatical structure of parison, bringing parity among longer clauses.""
}",['grammatical_structure_(parison)'],timeout,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the structure 'Nothing good can be said about' emphasizes the negative assessment of the four years.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [],
  ""Explanation"": ""None of the properties of Parallelism are present in the example text. The sentence does not exhibit equal syllable length, alternating stressed and unstressed syllables, grammatical structure parity, or comparison in argument."" 
}",[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'four years of' creates parity among longer clauses, demonstrating grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of the phrase 'his four years of' creates parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'nothing' and 'can be said about his four years of'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'his four years of' followed by different qualities 'sanctimony and incompetence'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'nothing' and 'can be said about his four years of' in the two clauses.""
}",['grammatical_structure_(parison)']
963,[6],"An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday.",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the gunman' and 'the man' creates parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'didn't spot any suspicious signs' and 'disturbed' presents a comparison between the man's lack of suspicion and his feeling of unease.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repeated structure of 'he didn't spot any suspicious signs' and 'his one-time customer' demonstrates parallelism in grammatical structure.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text uses parallelism in argument by comparing the past and present views on climate change.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument by comparing the gunman's actions before and after the shooting.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'An Arizona man' is repeated at the beginning of two consecutive clauses, creating grammatical structure parity.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the gunman' and 'the man's lawyer'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the gunman' and 'the man's lawyer'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the gunman' and 'the man's lawyer' as well as 'any suspicious signs' and 'his one-time customer'. This creates a sense of balance and cohesion in the sentence.""
}",['grammatical_structure_(parison)']
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Parallelism,[],[],[],"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""The example text contains the iambic parameter with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'comfort in being' and 'of evidence' demonstrates parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repeated structure of 'comfort in being put through the ringer without a shred of evidence' and 'Senator Flake' shows parity among longer clauses with repetition, indicating the use of parison in this text.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text contains parallelism in argument by comparing Judge Kavanaugh's comfort in being put through the ringer without evidence to Senator Flake's actions.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument by comparing the comfort of Judge Kavanaugh in one situation to Senator Flake's actions in another situation.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument, contrasting Judge Kavanaugh's comfort in being put through the ringer without evidence with Senator Flake's actions.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The use of 'being put through the ringer' and 'without a shred of evidence' exhibits grammatical structure parallelism, creating a balanced and cohesive expression.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of parallelism in argument is evident in the comparison between Judge Kavanaugh's comfort in being put through the ringer without evidence and Senator Flake's actions.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'without a shred of evidence' and 'Senator Flake' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)']
994,[8 6],"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The repetition of 'I’ve never understood how' creates a grammatical structure (parison) and the comparison of chaos, anarchy, and illegal border crossings to discipline and the rule of law shows parallelism in argument.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","``` 
{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'I’ve never understood' and 'which we view' creates parity among longer clauses, indicating the use of parison.""
}
```",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text exhibits parallelism in grammatical structure with the repetition of 'which we view as' and 'the best example of'.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text exhibits the property of parison, with the repetition of 'which we view as the best example of' in the adjacent clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The example text contains a comparison of two contrasting ideas, highlighting the use of parallelism in argument. Additionally, the repetition of the phrase 'I’ve never understood' creates a grammatical structure of parison, emphasizing the parallelism in the clauses.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
    ""Properties"": [""grammatical structure (parison)""],
    ""Explanation"": ""The repetition of 'which we view as' creates a parallel grammatical structure, indicating the use of parison in the example text.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'how chaos, anarchy and illegal border crossings are viewed as something good' and 'which we view as the best example of discipline and the rule of law.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure through the repetition of 'how chaos, anarchy and illegal border crossings are viewed as something good' and 'which we view as the best example of discipline and the rule of law.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of parallelism in argument is present in the comparison between chaos, anarchy, and illegal border crossings being viewed as something good, and Germany being viewed as the best example of discipline and the rule of law.""
}",['comparison_(parallelism_in_argument)']
1040,[5 6 8],"The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose—details conveniently ignored by Winters, Allen and Shea—are utterly devastating to any defense of Bergoglio.",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text displays parity among longer clauses through repetition, making use of the parison property of parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison"", ""grammatical structure"", ""in syllables""],
  ""Explanation"": ""The text contains parallelism in comparison, grammatical structure, and syllable length. It compares the actions of Archbishop Viganò and Bergoglio, repeats the structure 'details...are utterly devastating', and has equal syllable length in some clauses.""
}","['comparison_(parallelism_in_argument)', 'grammatical_structure_(parison)', 'in_syllables_(isocolon)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'details' in the phrase 'details conveniently ignored' exhibits parallelism in grammatical structure, creating a sense of parity.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"``` 
{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text contains parity among longer clauses through repetition, such as 'details conveniently ignored by Winters, Allen and Shea', and 'The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose'.""
}
```",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'details' and 'friendly relations with McCarrick before he finally had to cut him loose' creates a parity among longer clauses, demonstrating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'details' and 'friendly relations with McCarrick' creates parity among longer clauses, demonstrating the use of parison.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in its grammatical structure by repeating the pattern 'details...are utterly devastating to any defense of Bergoglio' for emphasis and coherence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure 'ignored by Winters, Allen and Shea' and 'utterly devastating to any defense of Bergoglio' creates a sense of balance and emphasis on the impact of the details.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence contains a repetition of the structure 'details' and 'friendly relations with McCarrick' which creates a sense of parity among longer clauses.""
}",['grammatical_structure_(parison)']
