PTC_id,text,feature,properties
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
","Subject choices",humans
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
",Tense,"present,past"
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
","Verb choices","negation,modality"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
",Aspect,"simple,perfect"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
","Language varieties","correctness,middle,forcefulness,clarity"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
","Lexical and semantic fields","abstract,concrete,indefinite/thesis,definite/hypothesis"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
","Modifying clauses","adjective,subordinate"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
",Mood,indicative
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
","New words and changing uses",acronyms
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
",Predication,"active,stative"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
","Subject choices","humans,abstractions"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
",Tense,"present,past"
6775,"“This isn’t a radical departure for CIA,” Greenwald added.
“After all, Haspel did this under George Tenet.
At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods.
And Pompeo was fine with black sites.
Still notable: she’s an actual torturer.”
","Verb choices",negation
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”",Aspect,simple
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”","Language varieties","correctness,clarity,middle"
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”","Lexical and semantic fields","abstract,indefinite/thesis,definite/hypothesis"
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”","Modifying clauses",subordinate
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”",Mood,indicative
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”",Predication,"stative,active"
7092,"As Edward Pentin notes: “all 3 prelates have since been special advisors of Francis or rehabilitated by him.”","Subject choices",humans
