,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
110,1405,[ 7 13],"I want to bring our soldiers back home,"" Trump said.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an argument from opposites, with the contrast between 'bring our soldiers back' and 'home.'""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement 'I want to bring our soldiers back home' sets forth the full meaning and character of the speaker's desire clearly and succinctly.""
}",['defintion_as_figure'],"{
  ""Properties"": [""eduction""],
  ""Explanation"": ""The use of the phrase 'bring our soldiers back home' implies a conclusion based on the example of soldiers being brought back home, which aligns with the concept of eduction (abductive reasoning)."" 
}",['eduction'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'bring our soldiers back home' presents an antithesis by juxtaposing the idea of 'bringing back' with the previous state of 'being away' or 'being deployed'.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement sets forth the full meaning and character of the desire to bring soldiers back home in a succinct manner.""
}",['defintion_as_figure'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'bring our soldiers back home' presents an argument from opposites, emphasizing the contrast between the current situation and the desired outcome.""
}",['antithesis'],0
111,1407,[7],And it’s a problem not just in West Virginia – it’s a national problem.,Figures_of_argument,['strategic_repetition'],['eduction'],['strategic_repetition'],False,['induction'],"{
    ""Properties"": [""induction""],
    ""Explanation"": ""The statement makes a conclusion about a national problem based on the specific example of West Virginia.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the national problem from the specific example of West Virginia, thus making an inductive argument.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement 'it’s a problem not just in West Virginia – it’s a national problem' is an example of induction, as it draws a general conclusion (national problem) from a specific example (West Virginia).""
}",['induction'],True,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement moves from a specific problem in West Virginia to a general problem at the national level, drawing a conclusion from the specific to the general.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement moves from the specific problem in West Virginia to the generalization that it is a national problem, drawing a conclusion from the specific to the general.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about a national problem from the specific example of West Virginia, making an inductive argument from the specific to the general.""
}",['induction'],1
112,1487,[8],"My acceptance from the reading of this document of the Church’s orthodox eucharistic doctrine was based in part on Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it.",Figures_of_argument,['strategic_repetition'],['antithesis'],[],False,['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites, contrasting the gracious and beautiful exposition with the sheer radical, mad unlikeliness.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'gracious and beautiful' in opposition to 'sheer radical, mad unlikeliness' creates an antithesis, presenting contrasting ideas for emphasis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'gracious and beautiful exposition' alongside 'sheer radical, mad unlikeliness' forms an antithesis, presenting two contrasting ideas for emphasis.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence contains an argument from opposites, contrasting the gracious and beautiful exposition with the sheer radical, mad unlikeliness.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the gracious and beautiful exposition with the sheer radical, mad unlikeliness of the eucharistic doctrine.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'gracious and beautiful' in contrast with 'sheer radical, mad unlikeliness' creates an argument from opposites, making use of antithesis.""
}",['antithesis'],1
113,1535,[8 8 5],This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night.,Figures_of_argument,[],['induction'],['defintion_as_figure'],False,"['strategic_repetition', 'induction']","{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage uses a form of strategic repetition ('that claims that ...'). The phrase 'that claims that' is used twice in close proximity to emphasize the speaker's viewpoint and to persuade the audience.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement 'complete nonsense' is repeated twice for emphasis, which is a form of strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of 'once again' provides strategic repetition in the text, emphasizing the idea that there is proof and reinforcing the argument that the narrative is nonsense and a cover-up is happening.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'complete nonsense' and the repetition of the idea that authorities are covering up what really happened creates a strategic repetition within the passage.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'complete nonsense' and the repetition of the idea that authorities are covering up what really happened emphasizes the argument and adds weight to the claim.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'complete nonsense' and the repetition of the idea that authorities are covering up what really happened constitutes strategic repetition within the passage.""
}",['strategic_repetition'],1
114,1589,[8 6],"In the tragic comedy of denial that every Islamic terrorism investigation inevitably becomes, the authorities are still hunting around for his motiv Yonathan Halimi, Sarah Lucy’s son, describes the killer’s family as being known for its anti-Semitism.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of 'tragic comedy' and 'hunting around for his motiv' followed by 'describes the killer’s family as being known for its anti-Semitism' presents an argument from inversion, transposing the investigation process with the description of the killer's family."" 
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites can be seen in the phrase 'tragic comedy of denial' which juxtaposes tragedy with comedy, highlighting the contradictory and paradoxical nature of the situation.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of repetition 'Yonathan Halimi' is repeated to emphasize the significance of the individual in the context of an ongoing investigation. This serves as a rhetorical device to draw attention to the importance of the person in relation to the investigation.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'tragic comedy' presents an argument from opposites, highlighting the contradictory nature of Islamic terrorism investigations.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'tragic comedy' presents an argument from opposites, highlighting the contradictory nature of Islamic terrorism investigations.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'tragic comedy' presents an argument from opposites, highlighting the contradictory nature of Islamic terrorism investigations.""
}",['antithesis'],1
115,1699,[8],"He said the group was a toothless, paper-shuffling exercise.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The phrase 'toothless, paper-shuffling exercise' presents an antithesis by juxtaposing opposite meanings to create a contrast and emphasize the lack of effectiveness or impact.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an antithesis by juxtaposing 'toothless' with 'paper-shuffling', creating a contrast between the ineffectiveness of the group and its superficial appearance of activity.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites, contrasting the idea of a group being 'toothless' with the idea of it being a 'paper-shuffling exercise.'""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites 'toothless' and 'paper-shuffling' creates an antithesis, presenting contrasting qualities of the group.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'toothless' and 'paper-shuffling' presents an antithesis, highlighting the opposite characteristics of the group.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by presenting opposing qualities of the group - 'toothless' and 'paper-shuffling' - to emphasize the ineffectiveness of the group.""
}",['antithesis'],1
116,2116,[8],The case of the Netherlands is downright bizarre; sisters so old that even the federation structures are breaking down.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence contains an antithesis, as it presents the idea of the Netherlands being a 'bizarre' case due to the unusual situation of sisters being so old that even the federation structures are breaking down.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'sisters so old that even the federation structures are breaking down' presents an argument from opposites, highlighting the extreme age and dysfunction of the federation structures in the Netherlands.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites by juxtaposing the idea of the Netherlands being 'downright bizarre' with the concept of 'sisters so old that even the federation structures are breaking down.'""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'downright bizarre' and 'even the federation structures are breaking down' presents an argument from opposites, creating a contrast for emphasis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'downright bizarre' and 'so old' creates an argument from opposites, emphasizing the extreme nature of the situation in the Netherlands.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'downright bizarre' and 'so old' creates an argument from opposites, emphasizing the extreme nature of the situation in the Netherlands.""
}",['antithesis'],1
117,2128,[8],"A litany of lives of total moral, physical, emotional devastation suffered by victims of homosexual clerics.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'lives of total moral, physical, emotional devastation' is repeated within the text, creating a sense of emphasis and highlighting the severity of the situation through strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'lives of total moral, physical, emotional devastation' exhibits strategic repetition, emphasizing the severity of the impact on the victims.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The text includes strategic repetition through the use of a 'litany' to convey a sense of overwhelming and repeated devastation. Additionally, the use of 'homosexual clerics' creates an antithesis by juxtaposing the expected moral behavior of clerics with the negative portrayal."" 
}","['strategic_repetition', 'antithesis']",False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'lives of total moral, physical, emotional devastation' is repeated to emphasize the extent of the suffering experienced by the victims.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'lives of total moral, physical, emotional devastation' is an example of strategic repetition, emphasizing the severity of the impact on the victims.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'lives of total moral, physical, emotional devastation' is repeated to emphasize the extent of the suffering experienced by the victims.""
}",['strategic_repetition'],1
118,2198,[16  6  8],"That’s all,” when he stated in his sworn account that Nuncio Pietro Sambi conveyed to McCarrick at the Nunciature in Washington the sanctions that had been imposed on him by Pope Benedict—sanctions Bergoglio ignored for five years until forced to act by a worldwide storm of outrage.",Figures_of_argument,['strategic_repetition'],[],[],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the phrase 'sanctions that had been imposed on him by Pope Benedict—sanctions Bergoglio ignored', contrasting the actions of two individuals.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The passage uses antithesis by contrasting the idea of Bergoglio ignoring the sanctions for five years with being forced to act by a worldwide storm of outrage.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The phrase 'sanctions that had been imposed on him by Pope Benedict—sanctions Bergoglio ignored' presents an argument from opposites or antithesis, contrasting the actions of Pope Benedict and Bergoglio.""
}",['antithesis'],True,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the phrase 'sanctions that had been imposed on him by Pope Benedict' repeated twice in close proximity.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The repetition of 'sanctions' and 'Nuncio Pietro Sambi conveyed to McCarrick' within the passage demonstrates strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'sanctions that had been imposed' and 'sanctions Bergoglio ignored'. This creates a strong argument from opposites.""
}",['antithesis'],0
119,2241,[8],"Because in those texts—above all Gaudium et Spes, Dignitatis Humanae, Unitatis Redintegratio, Nostra Aetate and Sacrosanctum Concilium—the Council verbally prostrated itself before “the modern world” and the practitioners of other religions while authorizing Bugnini (Secretary of the liturgical Preparatory Commission that drafted what would become Sacrosanctum Concilium) to begin demolition of the sacred liturgy that was the very foundation Catholic of orthodoxy and orthopraxis.",Figures_of_argument,[],['antithesis'],[],False,"['strategic_repetition', 'antithesis', 'defintion_as_figure']","{
  ""Properties"": [""antithesis"", ""strategic repetition""],
  ""Explanation"": ""The use of 'the modern world' and 'other religions' creates an antithesis, highlighting the contrast between these concepts. Additionally, the repetition of phrases 'above all' and 'Sacrosanctum Concilium' can be seen as strategic repetition within the passage.""
}","['antithesis', 'strategic_repetition']","{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The text uses the strategic repetition of 'the modern world' and 'other religions' to create emphasis, and it presents an antithesis between 'the sacred liturgy' and 'the modern world' and 'other religions'.""
}","['strategic_repetition', 'antithesis']","{
  ""Properties"": [""antithesis"", ""strategic repetition""],
  ""Explanation"": ""The passage presents an antithesis by contrasting the Council's actions of prostrating itself before the modern world and other religions with the authorization of demolition of the sacred liturgy. Additionally, there is strategic repetition in the use of specific texts: Gaudium et Spes, Dignitatis Humanae, Unitatis Redintegratio, Nostra Aetate, and Sacrosanctum Concilium."" 
}","['antithesis', 'strategic_repetition']",False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'prostrated itself before the modern world' and 'authorizing Bugnini to begin demolition of the sacred liturgy'. This creates an argument from opposites, making use of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'the modern world' and 'other religions' in opposition to 'the sacred liturgy' demonstrates the use of antithesis, as it presents an argument from opposites.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repeated use of 'Gaudium et Spes', 'Dignitatis Humanae', 'Unitatis Redintegratio', 'Nostra Aetate', and 'Sacrosanctum Concilium'.""
}",['strategic_repetition'],0
120,2456,[8],NASA has released a record-breaking photograph taken by the New Horizons spacecraft when it was 3.79 billion miles away from the Earth.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by providing a specific example (photograph taken by New Horizons spacecraft) to draw a general conclusion (record-breaking photograph at a specific distance).""
}",['induction'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The phrase 'record-breaking photograph' defines the photograph as setting a new record, succinctly expressing its significance.""
}",['defintion_as_figure'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by presenting a specific example (a record-breaking photograph taken by the New Horizons spacecraft) and drawing a general conclusion (NASA has released the photograph).""
}",['induction'],False,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by presenting a specific example (the record-breaking photograph taken by the New Horizons spacecraft) to draw a general conclusion (NASA has achieved a remarkable feat in capturing an image from 3.79 billion miles away).""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by providing a specific example (the record-breaking photograph taken by the New Horizons spacecraft) to draw a general conclusion about the distance from Earth (3.79 billion miles away).""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by presenting a specific example (the record-breaking photograph taken by the New Horizons spacecraft) to draw a general conclusion about the distance from Earth (3.79 billion miles).""
}",['induction'],1
121,2472,[8],"Ricki Seidman, a Democratic operative and former Clinton White House official who is now an advisor to Mrs. Ford, said in July (at roughly the same time as the letter was submitted) that she predicted a ""strategy"" forming to destroy Brett Kavanaugh.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The example does not exhibit any of the other rhetorical figures listed. However, it does employ strategic repetition with the use of the word 'strategy' being repeated, which emphasizes the idea of a deliberate plan being formed to destroy Brett Kavanaugh.""
}",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The phrase 'strategy' and 'strategic' are strategically repeated within the sentence to emphasize the planned and deliberate nature of the action being described.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'strategy' is repeated with the phrase 'predicted a \""strategy\"" forming', which indicates strategic repetition.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'strategy forming' is repeated to emphasize the deliberate and planned nature of the action being described.""
}",['strategic_repetition'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by drawing a general conclusion about a 'strategy' to destroy Brett Kavanaugh based on the specific action and prediction of Ricki Seidman.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement uses induction by drawing a general conclusion about a 'strategy' to destroy Brett Kavanaugh based on the specific prediction made by Ricki Seidman.""
}",['induction'],0
122,2508,[8],"“It was a foolish mistake by a very young man,” Saucier’s lawyer, Greg Rinckey, said.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The phrase 'foolish mistake' and 'very young man' are transposed in the sentence, creating an antimetabole.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence includes an antithesis by contrasting 'foolish mistake' with 'very young man', emphasizing the contrast between the nature of the mistake and the age of the individual.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of Saucier's mistake as being 'foolish' and made by 'a very young man'. It sets forth the full meaning and character of the mistake in a lucid and succinct manner.""
}",['defintion_as_figure'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting 'foolish mistake' with 'very young man' to emphasize the contrast between the action and the person who committed it.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting 'foolish mistake' with 'very young man', creating a sense of opposition and emphasizing the contrast between the two characteristics.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement sets forth the full meaning and character of the mistake made by Saucier in a lucid and succinct manner, defining it as 'a foolish mistake by a very young man.'""
}",['defintion_as_figure'],0
123,2584,[0 8],"In remarks after his address, reported by the German Catholic newspaper Die Tagespost, the cardinal made it clear what he thinks about the recently presented German idea of blessing homosexual unions, even if only in individual cases: “If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of.”",Figures_of_argument,['antithesis'],['strategic_repetition'],[],False,"['definition_as_figure', 'strategic_repetition']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence 'If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of' presents an argument from opposites, contrasting the act of blessing with the disapproval of God.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement presents an argument from opposites regarding the idea of blessing homosexual unions, contrasting the act of blessing with what God supposedly approves of.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of the opposites 'blessing' and 'atrocity' in the statement qualifies it as an example of antithesis.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of' presents an argument from opposites, contrasting the act of blessing with the disapproval of God.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of' presents an argument from opposites, contrasting the act of blessing with the disapproval of God.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of' presents an argument from opposites, contrasting the act of blessing with the disapproval of God.""
}",['antithesis'],1
124,2629,[ 8 13],ADVANTAGE AMERICANS,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text repeats the word 'Americans' to emphasize the focus on the advantage of American people.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text repeats the word 'advantage' for emphasis and to drive home the message about the benefits enjoyed by Americans.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text uses strategic repetition of the word 'Advantage' to emphasize the main message and create a persuasive effect.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text 'ADVANTAGE AMERICANS' uses strategic repetition by repeating the word 'Americans' for emphasis and to convey a sense of unity and strength.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text uses strategic repetition by repeating the word 'advantage' to emphasize the importance of Americans having an advantage.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text uses strategic repetition by repeating the word 'Americans' to emphasize the advantage or benefit that is being highlighted.""
}",['strategic_repetition'],1
125,2670,[5 9 8 8],"“They [Guardian editors] knew that publishing this story would cause partisan warriors to excitedly spread the story, and that cable news outlets would hyperventilate over it, and that they’d reap the rewards regardless of whether the story turned out to be true or false.”",Figures_of_argument,['strategic_repetition'],['strategic_repetition'],[],False,['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains repetition of the phrase 'and that', which indicates a strategic repetition of clauses within the passage.""
}",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text does not contain examples of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does exhibit strategic repetition by repeating the pattern of 'and that' to emphasize the various anticipated outcomes of publishing the story.""
}",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The use of 'and that' three times in the sentence shows strategic repetition of the potential consequences of publishing the story, emphasizing the anticipated reaction and outcome.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repeated use of 'and that'. This repetition emphasizes the different anticipated outcomes of publishing the story.""
}",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The passage contains strategic repetition with the repetition of 'they knew that' to emphasize the awareness and anticipation of the consequences of publishing the story.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repetition of 'and that' to emphasize the anticipated consequences of publishing the story.""
}",['strategic_repetition'],1
126,2871,[8],"While it earlier made attempts to balance its shoddier side with some interesting reporting, it is now solidly main stream in the worst sense.",Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'solidly main stream' is strategically repeated with the contrasting phrase 'shoddier side' to emphasize the change in the nature of the reporting."" 
}",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text includes strategic repetition with the phrase 'it is now solidly main stream' repeated for emphasis and to convey a sense of negativity towards the subject.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The usage of 'shoddier side' and 'solidly main stream' presents an argument from opposites, while the repetition of 'it' at the start of both phrases indicates strategic repetition.""
}","['strategic_repetition', 'antithesis']",False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'balance its shoddier side' and 'solidly main stream' presents an argument from opposites, highlighting the shift in the nature of the reporting.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'balance its shoddier side' and 'solidly main stream' presents an argument from opposites, highlighting the shift from attempting balance to being solidly mainstream.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'it earlier' and 'it is now' creates a strategic repetition within the passage.""
}",['strategic_repetition'],0
127,2897,[8 6 8 8],Rich Penkoski is hardly the first to protest this egregious submission to the most vicious and brutal ideology on the face of the Earth.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'hardly the first' and 'most vicious and brutal' creates an argument from opposites, highlighting the extreme nature of the submission and the history of protest against it.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence employs antithesis by juxtaposing 'protest' with 'submission' and 'most vicious and brutal ideology' with 'on the face of the Earth.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'protest' and 'submission', as well as 'most vicious and brutal' and 'on the face of the Earth.'""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'hardly the first' and 'most vicious and brutal' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],timeout,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'hardly the first' and 'most vicious and brutal' presents an argument from opposites, which is characteristic of antithesis.""
}",['antithesis'],1
128,2900,[13  8 13],Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a satanic star in my chest and rip out my organs.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The use of antimetabole is identified in the phrasing 'kill me and carve a satanic star in my chest and rip out my organs', which transposes the arguments in a phrase for emphasis and impact.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is present in the mention of 'kill me' and 'carve a satanic star in my chest and rip out my organs.'""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of strategic repetition can be seen in the repetition of 'another student' and 'my daughter', as well as the repetition of 'kill me' and 'carve a satanic star in my chest' to emphatically convey the threatening nature of the situation. The antithesis is evident in the juxtaposition of 'kill me' with the detailed and grotesque actions that follow, creating a stark contrast in the argument."" 
}","['strategic_repetition', 'antithesis']",False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of repetition in the statement 'Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a satanic star in my chest and rip out my organs.' emphasizes the severity and graphic nature of the threat, creating a sense of urgency and alarm.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is present in the statement, as it contrasts the idea of being killed and mutilated with the concept of satanic worship and violence.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between the extreme violence described and the normal, non-violent interaction between students and adults.""
}",['antithesis'],0
