sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res2,gpt_props2,res3,gpt_props3,res1,gpt_props1,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_nouns,[],[],[],"{
    ""Properties"": [""appositives""],
    ""Explanation"": ""The phrase 'the Cardinal's exposition' is an appositive, renaming the noun 'Cardinal'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the Cardinal's exposition' is an appositive phrase that renames 'exposition' with the noun 'Cardinal'.""
}",['appositives'],"```I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.```

{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the Cardinal's exposition' is a noun phrase that renames 'I have read' and functions as an appositive.""
}",['appositives'],[],['appositives'],-1,[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Phrases_built_on_nouns,[],[],['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive renaming the noun 'Breitbart report'. The phrase 'according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News' is a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'search engines like Google' is a resumptive modifier, as it repeats and modifies the noun 'search engines'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, renaming the noun 'Breitbart report'.""
}",['appositives'],[],['appositives'],-1,[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Phrases_built_on_nouns,[],[],[],"{
        ""Properties"": [""appositives"", ""summative modifier""],
        ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive that renames the noun 'moment', and the phrase 'before this crisis gets any more out-of-control than it already is' is a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'the unprecedented step' repeats the noun 'step' to modify and emphasize the novelty of the action.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive renaming the noun 'moment', and 'the unprecedented step of recalling Benedict XVI to the Chair of St. Peter' is a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']",[],"['appositives', 'summative_modifier']",-1,[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'A dark, impenetrable and “irreversible” winter of persecution of the faithful' summarizes or generalizes the preceding clause about the persecution of the faithful.""
}",['summative_modifier'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'persecution of the faithful' repeats the noun 'faithful', serving as a resumptive modifier.""
}",['resumptive_modifier'],"``` 
{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' repeats and emphasizes the noun 'persecution'.""
}
```",['resumptive_modifier'],[],['resumptive_modifier'],-1,[]
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Phrases_built_on_nouns,['appositives'],['appositives'],['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrases 'a senior Labour backbencher' and 'a senior Labour MP' are both appositives, renaming the nouns 'Chris Bryant' and 'his presence', respectively. The phrase 'on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’' is a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a senior Labour backbencher' is an appositive, renaming 'Chris Bryant'.""
}",['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'a senior Labour backbencher' is an appositive for 'Chris Bryant', and the phrase 'a senior Labour MP has said' serves as a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']",['appositives'],"['appositives', 'summative_modifier']",0,[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the letter to me from the UK Home Office' serves as an appositive, renaming the noun 'letter'.""
}",['appositives'],"``` 
{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a religion and is a belief system' is an appositive that renames the noun 'Islam'.""
}
```",['appositives'],timeout,[],[],['appositives'],-1,[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a veritable chorus of Catholics' is built on the noun 'chorus', renaming it and providing additional information.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a veritable chorus of Catholics' is built on the noun 'chorus' and acts as an appositive, renaming the noun it modifies.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'a veritable chorus of Catholics' repeats and refers back to the noun 'Catholics' to provide additional emphasis and information.""
}",['resumptive_modifier'],[],['appositives'],-1,[]
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Phrases_built_on_nouns,['appositives'],[],[],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.' acts as an appositive, renaming the noun 'extremists'.""
}",['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.,' acts as an appositive renaming the noun 'extremists' and also serves as a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrases 'gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.' and 'landlocked nation' are appositives, renaming the nouns they modify. The phrase 'a letter from the president, a letter without precedent' is a resumptive modifier, as it repeats the noun it modifies.""
}","['appositives', 'resumptive_modifier']",[],"['appositives', 'resumptive_modifier']",-1,[]
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Phrases_built_on_nouns,['summative_modifier'],['summative_modifier'],['summative_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a very real threat' is an appositive, renaming and modifying the noun 'threat'.""
}",['appositives'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'one that is largely immune to attack from the air' summarizes or generalizes the preceding clause 'This is a very real threat'.""
}",['summative_modifier'],"{
  ""Properties"": [
    ""absolute construction""
  ],
  ""Explanation"": ""The phrase 'largely immune to attack from the air' is built on the noun 'threat' and related to it as a feature.""
}",['absolute_construction'],['summative_modifier'],['absolute_construction'],-1,[]
188,[1],They would be immediate targets should the US and South Korea attack the north.,Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'the US and South Korea' is repeated in the phrase 'should the US and South Korea attack the north,' which is a resumptive modifier.""
}",['resumptive_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'immediate targets' summarizes the preceding clause 'They would be (targets) should the US and South Korea attack the north.'""
}",['summative_modifier'],"{
    ""Properties"": [""resumptive modifier""],
    ""Explanation"": ""The phrase 'the US and South Korea' repeats and modifies the noun 'targets.'""
}",['resumptive_modifier'],[],['resumptive_modifier'],-1,[]
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the meekest man alive' renames and modifies 'man', and the phrase 'the face of the Pharaoh' repeats and modifies 'the face'.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the meekest man alive' renames 'this' and modifies it as a resumptive modifier.""
}","['appositives', 'resumptive_modifier']","``` 
{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrases 'the meekest man alive' and 'a letter without precedent' both function as appositives, renaming the nouns they modify. Additionally, 'the letter from the president' contains a resumptive modifier, as the noun is repeated in the second clause.""
}
```","['appositives', 'resumptive_modifier']",[],"['appositives', 'resumptive_modifier']",-1,[]
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'undermining our #4thAmendment right against unreasonable searches and seizures' is a noun phrase summarizing or generalizing the preceding clause.""
}",['summative_modifier'],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'our #4thAmendment right against unreasonable searches and seizures' acts as an appositive, renaming the noun 'Supreme Court'. Additionally, 'our #4thAmendment right against unreasonable searches and seizures' functions as a resumptive modifier by repeating the noun it modifies.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'our #4thAmendment right against unreasonable searches and seizures' renames and further explains the noun 'our right.'""
}",['appositives'],[],['appositives'],-1,[]
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Phrases_built_on_nouns,[],[],[],"``` 
{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The example text contains an appositive phrase 'a state of panic' which renames the noun 'gird failure'.""
}
```",['appositives'],"{
  ""Properties"": [""appositives"", ""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'a state of panic' is an appositive renaming the noun 'gird failure'. 'Just in case' acts as a summative modifier summarizing the preceding clause. 'Prepared just in case' is a resumptive modifier repeating the noun 'prepared'.""
}","['appositives', 'resumptive_modifier', 'summative_modifier']","{
  ""Properties"": [
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'a state of panic' summarizes or generalizes the preceding clause indicating the potential outcome of a grid failure.""
}",['summative_modifier'],[],['summative_modifier'],-1,[]
204,[1],"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a superdogma in the Catholic Church' is an appositive that renames the noun 'superdogma'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a superdogma in the Catholic Church' is an appositive that renames the noun 'superdogma'""
}",['appositives'],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'a superdogma in the Catholic Church' renames the noun 'superdogma' and the phrase 'the U.S. Conference of Catholic Bishops' repeats the noun 'superdogma' it modifies.""
}","['appositives', 'resumptive_modifier']",[],['appositives'],-1,[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'One woman' renames and provides additional information about the noun 'screaming.'""
}",['appositives'],"```json
{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'One woman' is an appositive that renames the noun 'screaming.'""
}
```",['appositives'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'One woman' is repeated in the subsequent clause, a letter without precedent, serving as a resumptive modifier.""
}",['resumptive_modifier'],[],['appositives'],-1,[]
219,[1],"While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the activities could be quickly expanded.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The example text contains an appositive phrase 'the U.N. nuclear watchdog agency' renaming the noun 'Iran'. It also includes a summative modifier built on the noun 'deal' summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'the announcement' renames the noun 'Iran' and 'the activities' summarize the preceding clause about Iran's plans to increase enrichment within limits.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the announcement' is an appositive which renames 'Iran' in the sentence.""
}",['appositives'],[],"['appositives', 'summative_modifier']",-1,[]
241,[9 2],"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other ""alt-reich"" leaders because he “has a much larger following and elected officials meet with him openly.”",Phrases_built_on_nouns,['appositives'],[],['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The appositive 'CNN anchor Jake Tapper' renames the noun it modifies. The phrase 'more dangerous than other 'alt-reich' leaders' acts as a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The appositive 'CNN anchor Jake Tapper' renames 'Jake Tapper', and the resumptive modifier 'a few quotes from it' repeats the noun 'quotes'.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'CNN anchor Jake Tapper' is an appositive, renaming the noun 'Jake Tapper'. The phrase 'a few quotes from it' is a resumptive modifier, repeating the noun 'quotes'.""
}","['appositives', 'resumptive_modifier']",['appositives'],"['appositives', 'resumptive_modifier']",0,[]
243,[2 6],Women everywhere should be furious.,Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'Women everywhere' summarizes or generalizes the preceding clause 'should be furious'. This is a summative modifier built on a noun.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'Women everywhere' summarizes or generalizes the preceding clause indicating a universal sentiment.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'women everywhere' summarizes or generalizes the preceding clause, expressing a collective anger felt by all women.""
}",['summative_modifier'],[],['summative_modifier'],-1,[]
244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'the Church' is repeated in the appositive 'since the Church' to provide emphasis and clarity.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the Church, a religious institution' is an appositive as it renames the noun 'the Church'.""
}",['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'the Church' is renamed as 'since the Church' (appositive) and the phrase 'nearly everything on the earth' summarizes the preceding clause (summative modifier).""
}","['appositives', 'summative_modifier']",[],"['appositives', 'summative_modifier']",-1,[]
245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'many many others' renames the noun 'people', functioning as an appositive. The phrase 'who think alike' repeats and modifies the noun 'others', functioning as a resumptive modifier.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'many many others' renames and further describes the noun 'others'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'many many others' renames the noun 'people' and provides additional information about it.""
}",['appositives'],[],['appositives'],-1,[]
247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the head of the Catholic Church' renames 'it' and the noun 'bishops' is repeated in 'who will say' making it a resumptive modifier.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the head of the Catholic Church' renames the noun 'it', acting as an appositive. The phrase 'the last appeal' repeats the noun 'you know', acting as a resumptive modifier.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrases 'the head of the Catholic Church' and 'the last appeal' are examples of appositives, renaming the nouns 'dangerous' and 'appeal.' The resumptive modifier 'the Pope' repeats the noun phrase 'bishops' for emphasis.""
}","['appositives', 'resumptive_modifier']",[],"['appositives', 'resumptive_modifier']",-1,[]
