sentence_id,count,properties,all_properties,all_count,feature_id
3374,2,"[{'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete', 'prototype'}]","[{'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}]",15,Lexical_and_semantic_fields
3374,3,"[{'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'high', 'middle', 'forcefulness', 'correctness'}, {'middle', 'appropriateness', 'forcefulness', 'correctness'}]","[{'high', 'middle', 'forcefulness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'appropriateness', 'forcefulness', 'correctness'}]",3,Language_varieties
3374,1,"[{'metaphor', 'synecdoche'}]","[{'metaphor', 'synecdoche'}, {'metaphor', 'synecdoche'}, {'synecdoche', 'antonomasia'}, {'synecdoche', 'antonomasia', 'metonymy'}, {'antonomasia', 'metonymy'}]",2,Tropes
3374,2,"[{'emphasis'}, {'synonyms', 'emphasis', 'ploce'}]","[{'emphasis'}, {'synonyms', 'emphasis', 'ploce'}, {'agnominatio', 'emphasis'}]",2,Figures_of_word_choice
3374,1,"[{'compound', 'active'}]","[{'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}]",8,Predication
3374,4,"[{'humans', 'abstractions', 'things'}, {'simple'}, {'humans', 'abstractions'}, {'humans'}]","[{'humans'}, {'humans'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}, {'humans', 'abstractions', 'things'}, {'humans', 'abstractions'}, {'humans'}]",7,Subject_choices
3374,2,"[{'humans', 'abstractions'}, {'present', 'past'}]","[{'present', 'past'}, {'present', 'past'}, {'present', 'past'}, {'present', 'past'}, {'present', 'past'}, {'present', 'past'}, {'present', 'past'}, {'present', 'past'}, {'present', 'past'}]",7,Tense
3374,1,[{'simple'}],"[{'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}]",5,Aspect
3374,1,[{'indicative'}],"[{'indicative'}, {'indicative'}, {'indicative'}]",2,Mood
3374,1,[{'adjective'}],"[{'adjective'}, {'adjective', 'noun'}, {'adjective'}]",1,Modifying_clauses
3374,1,"[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]","[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",20,Modifying_phrases
3374,1,"[{'left branching', 'right branching', 'Periodic sentences'}]","[{'left branching', 'right branching', 'Periodic sentences'}, {'left branching', 'right branching', 'Periodic sentences'}, {'left branching', 'right branching', 'middle branching'}, {'left branching', 'right branching'}, {'left branching', 'right branching', 'middle branching', 'Periodic sentences'}]",2,Sentence_architecture
3374,1,"[{'by sentence role', 'by position'}]","[{'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}]",5,Emphasis
3374,1,[{'strategic repetition'}],"[{'strategic repetition'}, {'strategic repetition'}, {'definition as figure', 'strategic repetition'}]",2,Figures_of_argument
3374,1,[{'bracketing'}],[{'bracketing'}],1,Series
3374,1,"[{'negation', 'modality'}]","[{'negation', 'modality'}, {'negation', 'modality'}, {'negation', 'modality'}, {'negation', 'modality'}, {'negation', 'modality'}]",5,Verb_choices
3374,1,[set()],[],1,Phrases_built_on_nouns
313,1,"[{'Old English Core', 'Latin/Greek'}]","[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]",2,Language_of_origin
313,1,[set()],"[{'conversions'}, set(), {'conversions'}]",3,New_words_and_changing_uses
313,1,"[{'abstract', 'indefinite/thesis'}]","[{'abstract', 'indefinite/thesis'}, {'abstract', 'indefinite/thesis'}, {'abstract', 'indefinite/thesis'}, {'abstract', 'indefinite/thesis'}, {'abstract', 'indefinite/thesis'}, {'abstract', 'indefinite/thesis'}]",6,Lexical_and_semantic_fields
313,2,"[{'clarity', 'high', 'forcefulness', 'correctness'}, {'high', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]","[{'clarity', 'high', 'forcefulness', 'correctness'}, {'high', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'clarity', 'high', 'correctness'}]",2,Language_varieties
313,1,[{'metaphor'}],"[{'metaphor'}, {'metaphor', 'full analogies', 'synecdoche'}, {'metaphor'}, {'metaphor', 'synecdoche'}]",1,Tropes
313,2,"[{'emphasis', 'ploce'}, {'ploce'}]","[{'emphasis', 'ploce'}, {'ploce'}, {'ploce'}, {'ploce'}]",4,Figures_of_word_choice
313,2,"[{'active'}, {'stative', 'active'}]","[{'active'}, {'active'}, {'active'}, {'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}]",10,Predication
313,2,"[{'abstractions', 'things'}, {'abstractions', 'concepts', 'things'}]","[{'abstractions', 'things'}, {'abstractions', 'things'}, {'abstractions', 'things'}, {'abstractions', 'concepts', 'things'}, {'abstractions', 'concepts', 'things'}, {'humans', 'abstractions', 'things'}, {'rhetorical participants', 'abstractions'}, {'humans', 'abstractions', 'concepts'}]",5,Subject_choices
313,1,[{'present'}],"[{'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present', 'past'}, {'present'}]",4,Tense
313,1,[{'simple'}],"[{'simple'}, {'simple'}, {'simple'}]",1,Aspect
313,1,[{'indicative'}],"[{'indicative'}, {'indicative'}, {'indicative'}]",2,Mood
313,2,"[{'modality', 'multiplication'}, {'negation', 'modality'}]","[{'modality', 'multiplication'}, {'modality', 'multiplication'}, {'negation', 'modality'}, {'negation', 'modality'}, {'negation', 'modality'}, {'negation', 'modality'}]",6,Verb_choices
313,2,"[{'comparitive', 'conditional'}, {'comparitive', 'subordinate'}]","[{'comparitive', 'subordinate'}, {'comparitive', 'conditional'}, {'subordinate', 'comparitive'}]",2,Modifying_clauses
313,2,"[{'summative modifier', 'appositives'}, {'summative modifier'}]","[{'summative modifier', 'appositives'}, {'summative modifier'}, {'summative modifier'}]",2,Phrases_built_on_nouns
313,1,"[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]","[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",17,Modifying_phrases
313,2,"[{'Right branching', 'Periodic sentences'}, {'right branching', 'Periodic sentences'}]","[{'right branching', 'Periodic sentences'}, {'Right branching', 'Periodic sentences'}]",2,Sentence_architecture
313,1,"[{'by sentence role', 'by position'}]","[{'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}]",3,Emphasis
313,2,"[{'strategic repetition', 'antithesis'}, {'antithesis'}]","[{'strategic repetition', 'antithesis'}, {'strategic repetition', 'antithesis'}, {'antithesis'}]",3,Figures_of_argument
3387,1,[{'strategic repetition'}],"[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]",1,Language_of_origin
3387,2,"[{'Old English Core', 'Latin/Greek'}, {'compounds', 'conversions'}]","[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}, {'compounds', 'conversions'}]",12,New_words_and_changing_uses
3387,2,"[{'definite/hypothesis', 'concrete', 'prototype'}, {'abstract', 'definite/hypothesis', 'concrete'}]","[{'abstract', 'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}, {'definite/hypothesis', 'concrete', 'prototype'}]",15,Lexical_and_semantic_fields
3387,3,"[{'clarity', 'high', 'forcefulness', 'correctness'}, {'high', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'high', 'forcefulness', 'clarity', 'correctness'}]","[{'clarity', 'high', 'forcefulness', 'correctness'}, {'high', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'high', 'forcefulness', 'clarity', 'correctness'}]",3,Language_varieties
3387,3,"[{'metaphor', 'antonomasia'}, {'metaphor', 'antonomasia'}, {'euphemism', 'metaphor', 'antonomasia'}]","[{'euphemism', 'metaphor', 'antonomasia'}, {'metaphor', 'antonomasia'}, {'metaphor', 'antonomasia'}, {'euphemism', 'metaphor', 'synecdoche', 'antonomasia'}, {'metaphor', 'antonomasia'}, {'metaphor', 'antonomasia'}]",3,Tropes
3387,2,"[{'synonyms', 'emphasis', 'ploce'}, {'polyptoton', 'emphasis', 'synonyms'}]","[{'polyptoton', 'emphasis', 'synonyms'}, {'synonyms', 'emphasis', 'ploce'}, {'emphasis', 'ploce'}]",2,Figures_of_word_choice
3387,3,"[{'stative', 'compound', 'active'}, {'compound', 'active'}, {'active'}]","[{'active'}, {'active'}, {'active'}, {'active'}, {'stative', 'compound', 'active'}, {'stative', 'compound', 'active'}, {'stative', 'compound', 'active'}, {'stative', 'compound', 'active'}, {'stative', 'compound', 'active'}, {'compound', 'active'}, {'compound', 'active'}]",11,Predication
3387,2,"[{'humans', 'abstractions'}, {'humans', 'abstractions', 'concepts'}]","[{'humans', 'abstractions', 'concepts'}, {'humans', 'abstractions', 'concepts'}, {'humans', 'abstractions', 'concepts'}, {'humans', 'abstractions', 'concepts'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}, {'humans', 'abstractions', 'concepts'}, {'humans', 'abstractions'}]",7,Subject_choices
3387,2,"[{'humans', 'abstractions', 'concepts'}, {'future'}]","[{'future'}, {'future'}, {'future'}, {'future'}, {'future'}, {'future'}, {'future'}, {'present', 'future'}, {'present', 'future'}]",7,Tense
3387,1,[set()],"[{'simple', 'progressive'}, {'simple'}, {'simple'}]",5,Aspect
3387,2,"[{'indicative'}, {'simple'}]","[{'indicative'}, {'indicative'}, {'indicative', 'imperative'}]",3,Mood
3387,2,"[{'multiplication', 'modality', 'personification'}, {'modality'}]","[{'modality'}, {'modality'}, {'multiplication', 'modality', 'personification'}, {'multiplication', 'modality', 'personification'}]",4,Verb_choices
3387,1,[{'adjective'}],"[{'adjective'}, {'adjective'}, {'adjective'}, {'adjective'}, {'adjective'}, {'adjective'}]",6,Modifying_clauses
3387,2,"[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'appositives'}]","[{'appositives'}, {'appositives'}, {'appositives'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",39,Modifying_phrases
